Gene	sgRNA	Vehicle|beta	Vehicle|z	Vehicle|p-value	Vehicle|fdr	Vehicle|wald-p-value	Vehicle|wald-fdr	APR|beta	APR|z	APR|p-value	APR|fdr	APR|wald-p-value	APR|wald-fdr
ERI3	4	0.10479	0.73852	0.56852	0.96157	0.4602	0.95209	0.22883	1.6127	0.30942	0.8927	0.10681	0.75718
PRDM5	4	0.25306	1.0913	0.16204	0.77595	0.27515	0.95209	0.30876	1.3315	0.16279	0.75	0.18303	0.75718
CMTM8	4	0.24089	1.6962	0.18303	0.79628	0.089843	0.95209	0.048539	0.34145	0.8669	0.99571	0.73276	0.91599
VPS37C	4	0.14482	0.83429	0.42865	0.93531	0.40412	0.95209	0.1448	0.83394	0.5363	0.96014	0.40432	0.80851
CHRNB2	4	0.10625	0.71535	0.5628	0.96113	0.4744	0.95209	0.12925	0.86982	0.58408	0.96962	0.3844	0.8026
PNMA3	4	-0.13035	-1.0285	0.51616	0.95188	0.3037	0.95209	0.073499	0.58008	0.77491	0.98796	0.56186	0.85548
JMJD7	4	0.24155	1.6917	0.18228	0.79628	0.090712	0.95209	-0.16414	-1.1486	0.45794	0.94484	0.25073	0.76583
H2AFY	4	-0.053763	-0.23547	0.78431	0.98977	0.81385	0.97656	-0.040239	-0.17623	0.82384	0.99267	0.86012	0.95777
BLOC1S3	4	0.27577	1.2119	0.12391	0.70755	0.22556	0.95209	-0.0070095	-0.030586	0.9368	0.99831	0.9756	0.99454
KRTAP6-2	4	-0.15942	-1.3928	0.43322	0.93584	0.16368	0.95209	-0.23681	-2.0684	0.30872	0.89197	0.038607	0.75718
CARF	4	0.061591	0.31509	0.74135	0.98289	0.7527	0.96713	0.28215	1.4441	0.20401	0.80431	0.1487	0.75718
VHL	4	-0.72107	-1.2925	0.0085024	0.15461	0.1962	0.95209	-0.77181	-1.3721	0.010292	0.1887	0.17004	0.75718
GDNF	4	0.2115	0.66746	0.24279	0.84951	0.50448	0.95281	-0.0095259	-0.029997	0.9289	0.9983	0.97607	0.99456
ANKZF1	4	0.26708	1.7048	0.13733	0.73146	0.088235	0.95209	0.093451	0.59528	0.7058	0.98372	0.55165	0.8516
CDC26	4	-0.12764	-0.27188	0.52566	0.95434	0.78572	0.97272	-0.095593	-0.20349	0.64315	0.97733	0.83875	0.95127
controlguide638	1	0.29956	0.73404	0.38519	0.92446	0.46293	0.95209	0.19807	0.48534	0.64658	0.9783	0.62743	0.87642
SPEN	4	-0.04651	-0.37282	0.81091	0.99079	0.70929	0.96138	-0.10141	-0.8126	0.62629	0.97316	0.41645	0.81215
SDR9C7	4	0.31563	1.0434	0.078361	0.585	0.29676	0.95209	0.47002	1.5564	0.032866	0.37707	0.1196	0.75718
OR1S1	4	-0.17682	-1.533	0.38992	0.9255	0.12528	0.95209	-0.039659	-0.34387	0.82583	0.99267	0.73095	0.91508
ZNF362	4	0.083784	0.479	0.6512	0.97318	0.63194	0.9548	0.10233	0.58487	0.67472	0.98028	0.55864	0.85461
ABCG4	4	0.23689	0.97719	0.19048	0.80394	0.32848	0.95209	0.14702	0.60616	0.52988	0.95969	0.54441	0.84877
controlguide874	1	0.1544	0.40245	0.67283	0.97444	0.68735	0.96072	0.29989	0.78167	0.46012	0.94484	0.43441	0.81731
ZSWIM4	4	-0.099912	-0.51656	0.61182	0.96708	0.60546	0.953	0.051459	0.26609	0.85725	0.99571	0.79017	0.93531
GAR1	4	-0.36473	-1.7575	0.11421	0.6814	0.078829	0.95209	-0.25953	-1.251	0.27178	0.87127	0.21094	0.76098
RAB3IP	4	0.13454	0.63891	0.46286	0.94406	0.52288	0.953	0.060979	0.28867	0.82001	0.99243	0.77284	0.9299
AUP1	4	0.16841	0.48745	0.35556	0.91513	0.62594	0.95408	0.22337	0.64655	0.32105	0.90049	0.51792	0.83949
TCHHL1	4	0.10109	0.72039	0.58229	0.96482	0.47129	0.95209	0.18732	1.3351	0.41453	0.93422	0.18183	0.75718
TMX4	4	0.19021	0.88719	0.2948	0.87983	0.37498	0.95209	-0.036535	-0.1698	0.83612	0.99366	0.86516	0.9599
KIF20B	4	0.21456	0.89156	0.23573	0.84307	0.37263	0.95209	-0.024903	-0.10331	0.87589	0.99571	0.91772	0.97633
ARMC12	4	0.32446	1.8795	0.070605	0.55796	0.060183	0.95209	0.063684	0.3667	0.81076	0.99184	0.71384	0.91024
SLC22A11	4	0.020193	0.10549	0.91353	0.99405	0.91599	0.9906	-0.19986	-1.0419	0.37898	0.92233	0.29747	0.77303
FOXD4L5	4	-0.20497	-0.6817	0.32483	0.8985	0.49543	0.95281	-0.25142	-0.83339	0.28346	0.87414	0.40463	0.80869
DGKE	4	-0.15626	-1.2909	0.44173	0.93594	0.19675	0.95209	0.014015	0.11586	0.98732	0.9999	0.90777	0.97427
SLFNL1	4	-0.13705	-0.42301	0.49423	0.94713	0.67228	0.96038	-0.71049	-2.127	0.014767	0.23855	0.033418	0.75718
OR2T27	4	-0.20462	-0.48745	0.32588	0.89966	0.62594	0.95408	0.05206	0.12446	0.85516	0.99571	0.90095	0.97262
PNCK	4	-0.1255	-1.2148	0.53202	0.95726	0.22445	0.95209	0.074235	0.71877	0.77287	0.98755	0.47228	0.82551
SDPR	4	-0.078254	-0.92008	0.69282	0.97883	0.35753	0.95209	-0.010666	-0.12541	0.92517	0.9983	0.9002	0.97224
CCDC167	4	0.48056	1.441	0.0086516	0.15676	0.14958	0.95209	0.18666	0.55762	0.41622	0.93422	0.57711	0.86094
TIMM17B	4	-0.17387	-0.96076	0.39708	0.9255	0.33667	0.95209	-0.44492	-2.4385	0.086317	0.60388	0.014748	0.57706
AKT2	4	0.23325	1.1828	0.19734	0.80704	0.23688	0.95209	0.23048	1.1684	0.30609	0.89088	0.24265	0.76466
SLC6A13	4	0.036127	0.3661	0.84626	0.99121	0.71429	0.96291	0.018457	0.18695	0.97101	0.99913	0.8517	0.95538
OLFM3	4	-0.19117	-0.59464	0.35635	0.91513	0.55208	0.953	0.35491	1.1064	0.10959	0.67051	0.26854	0.76828
WDR78	4	0.39063	0.98	0.030728	0.36503	0.32709	0.95209	0.5334	1.3382	0.016209	0.25469	0.18084	0.75718
GPR139	4	0.20933	1.1151	0.24712	0.85249	0.26482	0.95209	0.012417	0.065986	0.99418	0.9999	0.94739	0.98532
RANBP9	4	-0.57791	-2.4955	0.02496	0.32179	0.012577	0.64528	-0.34486	-1.4932	0.16135	0.74827	0.13538	0.75718
controlguide898	1	0.36613	0.67874	0.28714	0.87606	0.4973	0.95281	0.27662	0.51282	0.49667	0.95334	0.60808	0.86951
C9orf156	4	0.01678	0.12991	0.92865	0.99531	0.89663	0.98606	0.00047673	0.003689	0.9641	0.99892	0.99706	0.99924
RRM2B	4	-0.10535	-0.51716	0.59537	0.966	0.60505	0.953	0.13714	0.67578	0.55867	0.96267	0.49918	0.83369
HLA-DQA2	4	0.16024	1.9613	0.37863	0.92183	0.049839	0.95209	0.07212	0.87947	0.78018	0.9887	0.37915	0.79992
SPATA9	4	0.098025	0.83452	0.59432	0.966	0.40399	0.95209	-0.15277	-1.2983	0.48414	0.94977	0.19417	0.75718
CLRN2	4	0.3725	1.434	0.039926	0.42487	0.15158	0.95209	0.16125	0.61736	0.48797	0.95071	0.537	0.84672
SERPINA12	4	-0.14156	-1.0904	0.4818	0.94713	0.27554	0.95209	-0.17188	-1.3227	0.44128	0.94102	0.18595	0.75718
CHIC2	4	0.099386	0.23337	0.5891	0.96523	0.81547	0.97758	0.6446	1.5143	0.0044252	0.10483	0.12996	0.75718
DBN1	4	0.24315	0.89193	0.17935	0.79432	0.37243	0.95209	0.16052	0.58829	0.49001	0.95074	0.55634	0.8538
LOC389602	4	-0.1758	-1.0906	0.3923	0.9255	0.27546	0.95209	-0.21052	-1.3058	0.35889	0.91355	0.19161	0.75718
ECM2	4	0.069702	0.17942	0.70923	0.98061	0.85761	0.98247	0.52642	1.3613	0.017353	0.2658	0.17343	0.75718
controlguide378	1	-0.094323	-0.22441	0.79783	0.99079	0.82244	0.97863	0.34708	0.82576	0.38982	0.92581	0.40894	0.80923
TLR5	4	-0.20096	-1.1297	0.33423	0.9052	0.25861	0.95209	-0.062574	-0.35194	0.7503	0.98514	0.72488	0.91408
P2RY8	4	0.028362	0.11216	0.87793	0.99121	0.91069	0.98965	-0.30505	-1.192	0.20585	0.80611	0.23325	0.76342
TMED7-TICAM2	4	-0.083153	-0.66793	0.67278	0.97444	0.50418	0.95281	0.15257	1.2263	0.51318	0.95868	0.2201	0.76209
controlguide362	1	-0.036723	-0.079361	0.91254	0.99405	0.93675	0.9917	0.38259	0.8268	0.34278	0.90798	0.40835	0.80923
MUTYH	4	0.058862	0.56913	0.75159	0.98553	0.56927	0.953	-0.02783	-0.26892	0.8663	0.99571	0.78799	0.93487
ARHGEF3	4	-0.03714	-0.17476	0.84949	0.99121	0.86127	0.98247	0.32239	1.524	0.14404	0.72389	0.12752	0.75718
SLC29A2	4	0.34501	0.8106	0.055091	0.49731	0.4176	0.95209	0.33462	0.78611	0.13002	0.70352	0.43181	0.81667
B4GALT1	4	0.03164	0.084672	0.86545	0.99121	0.93252	0.99148	0.21893	0.58653	0.33169	0.90448	0.55752	0.85413
CCDC8	4	0.15257	0.89297	0.4026	0.92744	0.37188	0.95209	0.14369	0.83929	0.53958	0.96014	0.40131	0.80781
TTLL7	4	0.14235	0.78586	0.437	0.93584	0.43195	0.95209	0.19683	1.0867	0.38803	0.92541	0.27718	0.76981
controlguide818	1	0.58405	0.51605	0.10049	0.64859	0.60582	0.953	0.60099	0.53101	0.14673	0.73008	0.59541	0.8663
VIPR2	4	0.18242	0.65395	0.31424	0.88851	0.51315	0.953	0.33192	1.1901	0.13281	0.70706	0.23402	0.76342
SLC6A18	4	-0.091226	-0.64154	0.6433	0.9713	0.52117	0.953	-0.18195	-1.2778	0.41766	0.93422	0.20133	0.75901
REP15	4	0.05644	0.38866	0.76159	0.98621	0.69753	0.96074	-0.15111	-1.0382	0.48886	0.95074	0.29918	0.77409
MYOM3	4	0.053239	0.2473	0.77342	0.98727	0.80467	0.97486	0.23959	1.1138	0.2866	0.87686	0.26537	0.76828
RPA4	4	0.21339	0.70013	0.23822	0.84393	0.48384	0.95224	0.41278	1.3579	0.060064	0.51492	0.1745	0.75718
ZNF695	4	0.13368	0.66041	0.46554	0.94406	0.50899	0.95281	0.076933	0.37992	0.76318	0.98581	0.704	0.90579
NBN	4	-0.30066	-2.2402	0.17666	0.7927	0.025079	0.85101	-0.12	-0.89632	0.57041	0.96493	0.37008	0.79752
ZNF616	4	0.14093	0.7564	0.44133	0.93594	0.44941	0.95209	0.24934	1.3383	0.26531	0.8654	0.18079	0.75718
DMRTC2	4	0.078376	0.54739	0.67482	0.97546	0.58411	0.953	0.11362	0.7934	0.63509	0.9756	0.42754	0.81544
FASTKD1	4	0.17087	1.48	0.3484	0.9127	0.13887	0.95209	0.057657	0.49934	0.83418	0.99366	0.61754	0.87323
IFNGR1	4	-0.11993	-0.81477	0.54947	0.95895	0.4152	0.95209	0.018851	0.12817	0.96942	0.99892	0.89802	0.97142
BHMT	4	0.44483	1.2931	0.015115	0.23229	0.19599	0.95209	0.43707	1.2703	0.047385	0.46128	0.20398	0.76066
AMMECR1L	4	0.14848	0.64683	0.41498	0.9299	0.51774	0.953	0.1688	0.73529	0.46495	0.94552	0.46216	0.82363
TBX2	4	-0.20203	-1.2074	0.33169	0.90416	0.22727	0.95209	-0.0018444	-0.011034	0.9556	0.99892	0.9912	0.99773
STARD13	4	0.081056	0.43882	0.66388	0.97443	0.6608	0.95921	0.045998	0.24881	0.8757	0.99571	0.80351	0.93911
CCDC67	4	0.18793	0.65232	0.30027	0.88059	0.5142	0.953	0.43736	1.5211	0.047235	0.46049	0.12824	0.75718
CLDN19	4	0.025095	0.1768	0.89245	0.99291	0.85966	0.98247	0.16989	1.1978	0.46171	0.94492	0.23099	0.76342
SERPINB2	4	0.12932	0.85604	0.48086	0.94713	0.39197	0.95209	0.1546	1.0231	0.50825	0.95858	0.30627	0.77567
S100Z	4	0.18763	1.1474	0.30096	0.88069	0.2512	0.95209	-0.16799	-1.0252	0.44998	0.943	0.30528	0.77557
M1AP	4	0.17844	1.0546	0.32483	0.8985	0.29159	0.95209	-0.049704	-0.29369	0.79172	0.98994	0.76899	0.92794
CNPY4	4	0.22173	0.94624	0.22002	0.82974	0.34403	0.95209	0.13038	0.55628	0.58095	0.96915	0.57802	0.86094
CH25H	4	0.54724	1.1791	0.0030827	0.072515	0.23834	0.95209	0.38869	0.83653	0.076919	0.57259	0.40285	0.80802
SLC8B1	4	0.16863	0.64066	0.35481	0.91513	0.52175	0.953	0.042944	0.16277	0.88564	0.99665	0.8707	0.96125
RABL3	4	0.12549	0.83628	0.49289	0.94713	0.403	0.95209	-0.032885	-0.21908	0.84855	0.99528	0.82659	0.94601
CCDC3	4	0.064998	0.16952	0.72787	0.9823	0.86539	0.98277	0.45404	1.1903	0.039678	0.42008	0.23394	0.76342
KIT	4	-0.023834	-0.1787	0.90081	0.99333	0.85817	0.98247	0.015288	0.11461	0.9826	0.99975	0.90875	0.97427
TMEM175	4	0.36068	0.84753	0.045595	0.45084	0.3967	0.95209	0.48647	1.1439	0.027595	0.3475	0.25268	0.76583
controlguide67	1	-0.25027	-0.63603	0.53346	0.95726	0.52475	0.953	-0.40053	-1.0179	0.44267	0.94116	0.30872	0.77731
BCL2A1	4	-0.088396	-0.76066	0.65444	0.97417	0.44686	0.95209	-0.040962	-0.35248	0.82135	0.99243	0.72448	0.91408
ARHGEF10L	4	0.13744	1.5523	0.45291	0.94133	0.12059	0.95209	0.11731	1.3247	0.62276	0.97272	0.18527	0.75718
WDR49	4	0.19317	1.4169	0.28575	0.87492	0.1565	0.95209	-0.13447	-0.98562	0.53217	0.96014	0.32432	0.78316
TFCP2L1	4	-0.10774	-0.71824	0.58836	0.96518	0.47261	0.95209	0.09085	0.60664	0.71549	0.98372	0.54409	0.84877
TFAP4	4	0.26516	1.2592	0.14051	0.74052	0.20796	0.95209	0.31677	1.5043	0.15105	0.7336	0.13251	0.75718
NCAN	4	-0.11322	-1.1741	0.5707	0.96219	0.24035	0.95209	0.045101	0.46861	0.87868	0.99594	0.63935	0.88129
TMEM158	4	0.15441	1.4327	0.39668	0.9255	0.15194	0.95209	0.097919	0.90829	0.69038	0.98232	0.36372	0.79752
ELOVL3	4	0.13938	0.94922	0.44481	0.93617	0.34251	0.95209	-0.073189	-0.49762	0.7145	0.98372	0.61875	0.87353
C17orf82	4	0.23259	1.1142	0.19844	0.80814	0.26518	0.95209	-0.13584	-0.65046	0.52894	0.95969	0.51539	0.83872
IL17RD	4	0.072304	0.35829	0.69968	0.979	0.72013	0.96469	-0.0056502	-0.027932	0.94188	0.99892	0.97772	0.99456
HLX	4	-0.17183	-0.54452	0.4023	0.92734	0.58608	0.953	-0.42033	-1.3194	0.10064	0.64561	0.18704	0.75718
controlguide98	1	0.38952	0.53215	0.25661	0.8593	0.59462	0.953	0.44831	0.61248	0.26954	0.86935	0.54022	0.84718
SVEP1	4	0.23569	0.98074	0.19252	0.80415	0.32672	0.95209	0.33126	1.3786	0.1334	0.70706	0.16803	0.75718
UBALD2	4	0.15141	0.85837	0.40588	0.92848	0.39069	0.95209	0.10881	0.61653	0.65145	0.97922	0.53754	0.84682
TRPM1	4	-0.26491	-1.0296	0.22221	0.83175	0.30319	0.95209	0.092096	0.35883	0.71102	0.98372	0.71972	0.91209
CDK2AP2	4	-0.086298	-0.95588	0.66209	0.97443	0.33913	0.95209	-0.18385	-2.0308	0.41413	0.93422	0.042273	0.75718
PLA2G2D	4	0.15544	0.50529	0.39325	0.9255	0.61335	0.95388	0.14958	0.48576	0.52237	0.95969	0.62714	0.87642
FNBP1	4	0.026159	0.26693	0.88743	0.99233	0.78952	0.9728	-0.0019963	-0.020369	0.95505	0.99892	0.98375	0.99582
GUCD1	4	0.036689	0.26822	0.84437	0.99121	0.78853	0.97276	0.081563	0.59628	0.74682	0.98514	0.55099	0.85118
SSTR1	4	-0.093465	-0.77428	0.63529	0.97053	0.43877	0.95209	0.11227	0.9309	0.63982	0.97708	0.35191	0.79589
IL1RAPL1	4	-0.3943	-1.4336	0.093477	0.63271	0.15168	0.95209	0.053448	0.19529	0.84994	0.99563	0.84516	0.95319
GRIN2A	4	0.40439	1.457	0.025607	0.3274	0.14512	0.95209	0.35998	1.2968	0.10342	0.65265	0.19471	0.75718
POU4F3	4	-0.027992	-0.28268	0.88554	0.9922	0.77743	0.9719	-0.10649	-1.0752	0.61048	0.97182	0.28227	0.76981
TMEM132B	4	0.37679	1.3271	0.036943	0.40402	0.18447	0.95209	0.45411	1.5996	0.039678	0.42008	0.10969	0.75718
NLRC5	4	0.15391	1.2303	0.39812	0.92569	0.21859	0.95209	0.038036	0.304	0.90145	0.9978	0.76113	0.92528
ADRA2C	4	-0.24344	-1.1159	0.25477	0.85872	0.26445	0.95209	0.083436	0.38594	0.73956	0.98514	0.69954	0.90396
LUM	4	0.25621	1.0135	0.15672	0.7694	0.3108	0.95209	-0.20847	-0.82044	0.36262	0.91564	0.41197	0.81068
controlguide15	1	0.34174	0.82048	0.3217	0.89575	0.41194	0.95209	0.10014	0.24043	0.82528	0.99267	0.81	0.94148
HAMP	4	0.26132	1.0722	0.14742	0.7533	0.28364	0.95209	0.3964	1.6266	0.071251	0.5535	0.10382	0.75718
DSG2	4	-0.020704	-0.19517	0.91408	0.99405	0.84526	0.98065	0.14535	1.3703	0.53495	0.96014	0.17059	0.75718
WISP2	4	0.078453	0.45767	0.67447	0.97546	0.64719	0.95691	0.11014	0.6424	0.64703	0.9783	0.52062	0.84057
PLIN2	4	0.18586	1.186	0.30569	0.88551	0.2356	0.95209	-0.17311	-1.1002	0.4379	0.93933	0.27126	0.76828
HK3	4	-0.047884	-0.37538	0.80619	0.99079	0.70738	0.96138	0.092761	0.72748	0.70878	0.98372	0.46693	0.8246
ASPG	4	0.081675	0.48769	0.6608	0.97443	0.62577	0.95408	0.24175	1.4447	0.28147	0.87387	0.14855	0.75718
B3GAT1	4	-0.11279	-0.96836	0.5719	0.96237	0.33287	0.95209	0.14498	1.245	0.53565	0.96014	0.21314	0.76098
TEKT1	4	0.03723	0.28096	0.84268	0.99121	0.77874	0.9719	-0.14143	-1.0665	0.51253	0.95868	0.28619	0.77106
C2CD4B	4	-0.48757	-2.1558	0.046689	0.45627	0.031098	0.93629	-0.31314	-1.3881	0.19615	0.79585	0.16511	0.75718
LTV1	4	0.33588	0.29606	0.061307	0.52321	0.76718	0.96923	0.22258	0.1946	0.32314	0.90115	0.84571	0.95336
FABP5	4	0.12014	0.43712	0.51104	0.95138	0.66202	0.95947	-0.050289	-0.18127	0.78963	0.98947	0.85616	0.95655
FOXJ3	4	0.069355	0.87111	0.71057	0.98078	0.38369	0.95209	0.11269	1.4155	0.63847	0.9765	0.15693	0.75718
PRKAR2B	4	0.15328	1.8056	0.40021	0.92682	0.070979	0.95209	0.0075932	0.089431	0.9914	0.9999	0.92874	0.97823
MXI1	4	0.26148	0.98419	0.14713	0.75273	0.32502	0.95209	0.19378	0.72936	0.39663	0.9275	0.46578	0.82429
IFI35	4	-0.16109	-0.91136	0.429	0.93531	0.3621	0.95209	0.1597	0.90468	0.49234	0.95074	0.36563	0.79752
IMMP1L	4	0.15984	1.1075	0.37957	0.92205	0.26808	0.95209	0.19658	1.362	0.38872	0.92581	0.1732	0.75718
C17orf74	4	-0.35654	-0.87826	0.12008	0.69818	0.3798	0.95209	-0.15805	-0.39235	0.47255	0.94736	0.6948	0.90213
UNC13A	4	0.3361	1.0882	0.061207	0.52294	0.27652	0.95209	0.25507	0.82493	0.25338	0.85503	0.40941	0.80953
ZC3HAV1L	4	0.17897	1.7926	0.32349	0.89811	0.073037	0.95209	0.13503	1.352	0.56608	0.96369	0.17637	0.75718
GSTA4	4	0.25744	1.0381	0.15468	0.76758	0.29924	0.95209	0.29539	1.191	0.18258	0.77667	0.23364	0.76342
controlguide809	1	0.31245	0.77742	0.36346	0.91661	0.43691	0.95209	0.16049	0.39931	0.71405	0.98372	0.68966	0.89928
PGBD2	4	-0.12554	-0.61623	0.53192	0.95726	0.53774	0.953	0.23674	1.1625	0.29311	0.88132	0.24503	0.76506
MTL5	4	-0.14953	-0.6968	0.46017	0.94406	0.48593	0.95281	0.23453	1.1016	0.29783	0.88415	0.27062	0.76828
controlguide989	1	-0.0086403	-0.13686	0.97235	0.99782	0.89114	0.9851	0.061264	0.97041	0.89638	0.99713	0.33184	0.78705
NGRN	4	-0.39225	-1.9496	0.094968	0.63624	0.051228	0.95209	-0.13785	-0.68593	0.52352	0.95969	0.49276	0.83113
SGPP2	4	-0.045705	-0.19755	0.81439	0.99079	0.8434	0.98029	0.10403	0.45127	0.66856	0.98028	0.65179	0.88562
OR2K2	4	0.0084482	0.043879	0.96311	0.99782	0.965	0.99666	-0.29172	-1.5112	0.2232	0.82936	0.13073	0.75718
HMG20B	4	-0.028754	-0.24378	0.88256	0.99168	0.8074	0.97547	0.060792	0.51541	0.8209	0.99243	0.60626	0.8692
RRNAD1	4	-0.020867	-0.10881	0.91334	0.99405	0.91335	0.9901	0.21679	1.1312	0.33666	0.90509	0.25798	0.76735
WNT11	4	-0.07777	-0.4024	0.69486	0.97883	0.68739	0.96072	0.084071	0.4354	0.73757	0.98514	0.66327	0.88912
OBSL1	4	0.13015	0.87827	0.47718	0.94713	0.3798	0.95209	-0.16701	-1.1222	0.45197	0.9445	0.26177	0.76791
OR4F3	4	-0.14546	-0.72019	0.47126	0.94569	0.47141	0.95209	-0.18119	-0.89659	0.419	0.93422	0.36994	0.79752
KLHL30	4	-0.053889	-0.24684	0.78356	0.98951	0.80503	0.97506	-0.030707	-0.14061	0.8564	0.99571	0.88818	0.96824
controlguide277	1	0.34498	0.46167	0.31717	0.89229	0.64432	0.95646	0.4902	0.65601	0.22867	0.83421	0.51182	0.83794
HIST1H4B	4	0.20687	0.69018	0.25318	0.85681	0.49008	0.95281	0.48723	1.6317	0.027297	0.34442	0.10274	0.75718
PRPS2	4	0.079446	0.4882	0.6704	0.97443	0.62541	0.95408	0.083951	0.5158	0.73782	0.98514	0.60599	0.8692
PHLDB3	4	-0.028029	-0.26466	0.88539	0.9922	0.79127	0.9728	-0.021676	-0.20459	0.88698	0.99665	0.8379	0.95106
UBE2E3	4	-0.099341	-0.55388	0.61391	0.96782	0.57966	0.953	0.04302	0.24009	0.88514	0.99664	0.81026	0.94148
ZNF611	4	-0.0059114	-0.043016	0.97365	0.99782	0.96569	0.9968	-0.11571	-0.84102	0.58473	0.96962	0.40034	0.80781
PPAPDC2	4	0.24896	0.84095	0.16955	0.78707	0.40037	0.95209	0.50861	1.7182	0.02143	0.30203	0.085767	0.75718
KRTAP10-8	4	0.017441	0.16105	0.92577	0.99524	0.87206	0.98277	0.11783	1.0881	0.62112	0.97254	0.27657	0.76981
GGCT	4	0.070976	0.27776	0.705	0.98058	0.7812	0.97207	0.32358	1.2689	0.14275	0.72118	0.20448	0.76066
CNNM4	4	0.20127	1.2964	0.26566	0.86526	0.19483	0.95209	0.079864	0.51435	0.75288	0.98514	0.60701	0.8692
ELOVL2	4	-0.10875	-0.51266	0.58542	0.96518	0.60819	0.953	0.23131	1.0937	0.30449	0.88945	0.27411	0.76951
TMPRSS6	4	0.26987	1.2536	0.13266	0.72206	0.20998	0.95209	0.18517	0.85959	0.4201	0.93422	0.39001	0.80522
AMOTL1	4	-0.14485	-0.57566	0.473	0.94588	0.56484	0.953	-0.050434	-0.20062	0.78923	0.98947	0.84099	0.95177
H1FX	4	-0.008135	-0.044946	0.96505	0.99782	0.96415	0.99661	-0.029546	-0.16304	0.86063	0.99571	0.87049	0.96123
UBL4B	4	0.37	1.1494	0.041219	0.43267	0.25039	0.95209	0.31841	0.98851	0.14916	0.73176	0.3229	0.78309
NAALADL2	4	0.24974	0.97087	0.16821	0.78565	0.33161	0.95209	0.14309	0.55595	0.54117	0.96014	0.57825	0.86094
SLC31A1	4	-0.57197	-1.6015	0.025955	0.32955	0.10927	0.95209	-0.33368	-0.93919	0.17243	0.76253	0.34763	0.7958
DIS3L	4	0.11697	0.8897	0.52218	0.95372	0.37363	0.95209	-0.15165	-1.1512	0.48742	0.95047	0.24966	0.76583
REEP4	4	-0.31197	-2.1046	0.16304	0.77831	0.035325	0.95209	-0.068508	-0.46311	0.73041	0.98372	0.64329	0.88247
GRIFIN	4	0.035183	0.10031	0.85014	0.99121	0.9201	0.99133	-0.033332	-0.094759	0.84671	0.99515	0.92451	0.97686
SRP68	4	-0.34935	-1.9132	0.1257	0.71047	0.055717	0.95209	-0.043665	-0.24033	0.8133	0.99184	0.81008	0.94148
RCOR1	4	0.045221	0.2478	0.80842	0.99079	0.80429	0.97475	0.14689	0.805	0.53018	0.95969	0.42082	0.81328
RBMXL2	4	0.10297	0.42291	0.57518	0.96344	0.67236	0.96038	0.0038538	0.015812	0.97663	0.99964	0.98738	0.99709
ITGB1	4	0.11539	1.0228	0.52794	0.95606	0.30641	0.95209	0.070869	0.6281	0.78401	0.98896	0.52994	0.84381
C1orf189	4	-0.018254	-0.20034	0.92492	0.99513	0.84121	0.97987	0.039588	0.43451	0.89588	0.99713	0.66392	0.88935
POU6F1	4	0.22645	1.2335	0.21002	0.82003	0.21738	0.95209	0.059079	0.32106	0.82791	0.99267	0.74816	0.92147
RFWD3	4	-0.38934	-1.6697	0.097156	0.64213	0.094988	0.95209	-0.48734	-2.0877	0.065036	0.52932	0.036829	0.75718
ARAF	4	-0.084462	-0.39082	0.6688	0.97443	0.69593	0.96074	-0.30244	-1.3983	0.20898	0.81076	0.16204	0.75718
ALX1	4	-0.01545	-0.12429	0.93626	0.99564	0.90108	0.98722	0.081304	0.65439	0.74776	0.98514	0.51286	0.83871
TEP1	4	0.048637	0.49226	0.79301	0.99025	0.62253	0.95408	0.13333	1.3497	0.5714	0.96515	0.17711	0.75718
HSPB8	4	0.27325	1.5887	0.12734	0.71258	0.11212	0.95209	0.10503	0.61044	0.66488	0.98028	0.54157	0.84771
PCBD2	4	0.27424	1.223	0.1258	0.71047	0.22133	0.95209	-0.050928	-0.22668	0.78749	0.98926	0.82067	0.94463
TMCO4	4	0.26281	0.80313	0.14459	0.74769	0.4219	0.95209	0.36962	1.1299	0.094372	0.62992	0.25851	0.76763
SAA2-SAA4	4	0.034877	0.15222	0.85153	0.99121	0.87901	0.98277	0.079184	0.34559	0.75502	0.98514	0.72965	0.91456
SLC39A6	4	0.21353	0.83541	0.23787	0.84317	0.40349	0.95209	0.39953	1.5639	0.068665	0.54285	0.11785	0.75718
NFKBIZ	4	-0.040962	-0.43673	0.83358	0.99121	0.66231	0.95951	0.14874	1.5871	0.52561	0.95969	0.11249	0.75718
CACNB3	4	0.17692	0.90127	0.3297	0.90218	0.36745	0.95209	0.05981	0.30431	0.82503	0.99267	0.76089	0.92527
ZNF451	4	0.015489	0.0994	0.93367	0.99564	0.92082	0.99142	-0.036197	-0.23201	0.83766	0.99366	0.81653	0.94351
OR4A16	4	0.13906	1.1604	0.4461	0.93732	0.24587	0.95209	-0.083485	-0.6965	0.68039	0.98129	0.48611	0.82895
NOL3	4	-0.089657	-0.34945	0.64956	0.97269	0.72675	0.96623	0.15261	0.59678	0.51298	0.95868	0.55066	0.85088
STRBP	4	0.26288	1.3949	0.14454	0.74769	0.16303	0.95209	-0.21592	-1.1358	0.3481	0.90987	0.25605	0.76735
DCD	4	0.18555	0.81929	0.30648	0.88551	0.41262	0.95209	0.24423	1.0784	0.27645	0.87326	0.28087	0.76981
MFSD4	4	0.013463	0.061934	0.94118	0.99564	0.95062	0.99481	0.13838	0.63687	0.55474	0.9621	0.52421	0.84195
